EID,GPUTime (レs),ExecutionDuration (レs),ExecutionStart (レs),ExecutionEnd (レs),GPUBusyCycles (cycles),TessellatorBusyCycles (cycles),VSBusyCycles (cycles),VSTime (レs),HSBusyCycles (cycles),HSTime (レs),DSBusyCycles (cycles),DSTime (レs),GSBusyCycles (cycles),GSTime (レs),PSBusyCycles (cycles),PSTime (レs),CSBusyCycles (cycles),CSTime (レs),VSVerticesIn,VSVALUInstCount,VSSALUInstCount,VSVALUBusyCycles (cycles),VSSALUBusyCycles (cycles),HSPatches,HSVALUInstCount,HSSALUInstCount,HSVALUBusyCycles (cycles),HSSALUBusyCycles (cycles),DSVerticesIn,DSVALUInstCount,DSSALUInstCount,DSVALUBusyCycles (cycles),DSSALUBusyCycles (cycles),GSPrimsIn,GSVerticesOut,GSVALUInstCount,GSSALUInstCount,GSVALUBusyCycles (cycles),GSSALUBusyCycles (cycles),PrimitiveAssemblyBusyCycles (cycles),PrimitivesIn,CulledPrims,ClippedPrims,PAStalledOnRasterizerCycles (cycles),PSPixelsOut,PSExportStallsCycles (cycles),PSVALUInstCount,PSSALUInstCount,PSVALUBusyCycles (cycles),PSSALUBusyCycles (cycles),CSThreadGroups,CSWavefronts,CSThreads,CSThreadGroupSize,CSVALUInsts,CSSALUInsts,CSVFetchInsts,CSSFetchInsts,CSVWriteInsts,CSFlatVMemInsts,CSVALUBusyCycles (cycles),CSSALUBusyCycles (cycles),CSMemUnitBusyCycles (cycles),CSMemUnitStalledCycles (cycles),CSWriteUnitStalledCycles (cycles),CSGDSInsts,CSLDSInsts,CSFlatLDSInsts,CSALUStalledByLDSCycles (cycles),CSLDSBankConflictCycles (cycles),TexUnitBusyCycles (cycles),TexTriFilteringCount,NoTexTriFilteringCount,TexVolFilteringCount,NoTexVolFilteringCount,TexAveAnisotropy,DepthStencilTestBusyCycles (cycles),HiZTilesAcceptedCount,HiZTilesRejectedCount,PreZTilesDetailCulledCount,PreZTilesDetailSurvivingCount,HiZQuadsCulledCount,HiZQuadsAcceptedCount,PreZQuadsCulledCount,PreZQuadsSurvivingCount,PostZQuadCount,PreZSamplesPassing,PreZSamplesFailingS,PreZSamplesFailingZ,PostZSamplesPassing,PostZSamplesFailingS,PostZSamplesFailingZ,ZUnitStalledCycles (cycles),DBMemRead (bytes),DBMemWritten (bytes),CBMemRead (bytes),CBColorAndMaskRead (bytes),CBMemWritten (bytes),CBColorAndMaskWritten (bytes),CBSlowPixelCount,L0TagConflictReadStalledCycles,L0TagConflictWriteStalledCycles,L0TagConflictAtomicStalledCycles,FetchSize (bytes),WriteSize (bytes),CacheHitCount,CacheMissCount,MemUnitBusyCycles (cycles),MemUnitStalledCycles (cycles),WriteUnitStalledCycles (cycles)
85,2803.84,2823.84,2.93502E+10,2.93502E+10,3638926.00,0.00,3023.00,2.32926,0.00,0.00,0.00,0.00,0.00,0.00,3630097.00,2799.79159,0.00,0.00,4.00,2.00,2.00,0.05556,0.05556,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3164.00,2.00,0.00,0.00,0.00,1205424.00,599.00,2412.00,24.00,1472702.91667,12600.66667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3615128.00,0.00,7.19605E+07,0.00,7.18949E+07,1.00,3437190.00,19266.00,0.00,0.00,19266.00,0.00,302338.00,0.00,302338.00,302338.00,18032.00,0.00,0.00,0.00,0.00,0.00,978.00,0.00,0.00,256032.00,346272.00,1.92465E+07,1.93119E+07,302338.00,1071316.00,0.00,0.00,2.95567E+07,0.00,1.30190E+07,461826.00,3615128.00,0.00,0.00
118,1077.44,1082.72,2.93502E+10,2.93502E+10,1385939.00,0.00,2620.00,2.03681,0.00,0.00,0.00,0.00,0.00,0.00,1375608.00,1073.17727,0.00,0.00,4.00,2.00,2.00,0.05556,0.05556,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2774.00,2.00,0.00,0.00,0.00,1205424.00,4275.00,70.45309,29.28153,41002.00,15370.36111,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1373122.00,0.00,7956998.00,0.00,7963193.00,1.00,1336455.00,19266.00,0.00,0.00,19266.00,0.00,302338.00,0.00,302338.00,302338.00,18032.00,0.00,0.00,0.00,0.00,0.00,5108.00,0.00,0.00,338688.00,428928.00,1.92495E+07,1.93150E+07,302338.00,126996.00,0.00,0.00,1.63491E+08,0.00,2639373.00,2553711.00,1373122.00,0.00,0.00
71,646.56,798.72,2.93502E+10,2.93502E+10,834568.00,0.00,7788.00,6.03355,0.00,0.00,0.00,0.00,0.00,0.00,827110.00,636.74678,0.00,0.00,6.00,110.00,11.00,3.38889,0.30556,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7870.00,2.00,0.00,2.00,0.00,4917632.00,487029.00,136.00,24.00,42302.77778,6466.66667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59025.00,0.00,1628832.00,0.00,1629552.00,1.00,19434.00,10156.00,0.00,0.00,10156.00,0.00,155174.00,4.00,155170.00,155170.00,0.00,0.00,0.00,614704.00,0.00,0.00,492525.00,35840.00,337504.00,982176.00,1551520.00,7.30467E+07,7.43002E+07,1241360.00,7376.00,0.00,0.00,2.23016E+07,0.00,211127.00,348444.00,59025.00,0.00,0.00
92,508.64,509.76,2.93502E+10,2.93502E+10,654762.00,0.00,2975.00,2.31107,0.00,0.00,0.00,0.00,0.00,0.00,648088.00,504.33892,0.00,0.00,4.00,2.00,2.00,0.05556,0.05556,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3160.00,2.00,0.00,0.00,0.00,2410848.00,1262.00,47.00,37.00,27820.58333,19421.91667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,646028.00,0.00,1.79415E+07,0.00,1.79354E+07,1.00,601955.00,19266.00,0.00,0.00,19266.00,0.00,302338.00,0.00,302338.00,302338.00,18032.00,0.00,0.00,0.00,0.00,0.00,2136.00,0.00,0.00,756320.00,937056.00,3.85646E+07,3.87191E+07,604676.00,656.00,0.00,0.00,1.97996E+07,0.00,410805.00,309365.00,646028.00,0.00,0.00
136,214.56,218.72,2.93502E+10,2.93502E+10,273484.00,0.00,2664.00,2.09002,0.00,0.00,0.00,0.00,0.00,0.00,265514.00,209.2998,0.00,0.00,4.00,2.00,2.00,0.05556,0.05556,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2788.00,2.00,0.00,0.00,0.00,1205424.00,183262.00,26.00,12.00,27820.58333,6299.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64386.00,0.00,1055211.00,0.00,1055206.00,1.00,252546.00,19266.00,0.00,0.00,19266.00,0.00,302338.00,0.00,302338.00,302338.00,18032.00,0.00,0.00,0.00,0.00,0.00,184678.00,0.00,0.00,50112.00,140352.00,1.92495E+07,1.93150E+07,302338.00,0.00,0.00,0.00,1.94249E+07,0.00,260.00,303513.00,64386.00,0.00,0.00
52,154.88,164.00,2.93502E+10,2.93502E+10,202981.00,0.00,4254.00,3.24592,0.00,0.00,0.00,0.00,0.00,0.00,195632.00,148.01825,0.00,0.00,9.00,11.00,4.00,0.30556,0.11111,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4759.00,12.00,6.00,4.00,0.00,1205424.00,112425.00,13.00,9.00,8392.88889,4721.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58145.00,0.00,1054980.00,0.00,1054871.00,1.00,185562.00,19174.00,0.00,0.00,19174.00,0.00,302128.00,0.00,302128.00,302128.00,12144.00,0.00,0.00,0.00,0.00,0.00,117629.00,0.00,0.00,36480.00,124288.00,1.92789E+07,1.93675E+07,302128.00,0.00,0.00,0.00,6660672.00,0.00,141694.00,104063.00,58145.00,0.00,0.00
179,102.24,177.76,2.93502E+10,2.93502E+10,140805.00,0.00,1383.00,1.00421,0.00,0.00,0.00,0.00,0.00,0.00,138576.00,99.94998,0.00,0.00,4.00,13.00,3.00,0.36111,0.08333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1442.00,2.00,0.00,0.00,0.00,562836.00,0.00,18.00,11.00,4418.50,2700.19444,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,136800.00,0.00,493230.00,0.00,492468.00,1.00,120596.00,9214.00,0.00,0.00,9214.00,0.00,141363.00,0.00,141363.00,141363.00,20244.00,0.00,0.00,0.00,0.00,0.00,355.00,0.00,0.00,69024.00,69024.00,1076160.00,1076160.00,0.00,9500.00,0.00,0.00,1.88042E+07,0.00,86713.00,293832.00,136800.00,0.00,0.00
25,82.56,82.72,2.93502E+10,2.93502E+10,106122.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,26873.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6366.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79872.00,7221888.00,7278208.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,80.16,557.60,2.93502E+10,2.93502E+10,103697.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,26250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6260.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,79.84,555.84,2.93502E+10,2.93502E+10,103833.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,26521.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6540.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,140.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
