EID,GPUTime (レs),ExecutionDuration (レs),ExecutionStart (レs),ExecutionEnd (レs),GPUBusyCycles (cycles),TessellatorBusyCycles (cycles),VSBusyCycles (cycles),VSTime (レs),HSBusyCycles (cycles),HSTime (レs),DSBusyCycles (cycles),DSTime (レs),GSBusyCycles (cycles),GSTime (レs),PSBusyCycles (cycles),PSTime (レs),CSBusyCycles (cycles),CSTime (レs),VSVerticesIn,VSVALUInstCount,VSSALUInstCount,VSVALUBusyCycles (cycles),VSSALUBusyCycles (cycles),GSPrimsIn,GSVerticesOut,GSVALUInstCount,GSSALUInstCount,GSVALUBusyCycles (cycles),GSSALUBusyCycles (cycles),PrimitiveAssemblyBusyCycles (cycles),PrimitivesIn,CulledPrims,ClippedPrims,PAStalledOnRasterizerCycles (cycles),PSPixelsOut,PSExportStallsCycles (cycles),PSVALUInstCount,PSSALUInstCount,PSVALUBusyCycles (cycles),PSSALUBusyCycles (cycles),CSThreadGroups,CSWavefronts,CSThreads,CSThreadGroupSize,CSVALUInsts,CSSALUInsts,CSVFetchInsts,CSSFetchInsts,CSVWriteInsts,CSFlatVMemInsts,CSVALUBusyCycles (cycles),CSSALUBusyCycles (cycles),CSMemUnitBusyCycles (cycles),CSMemUnitStalledCycles (cycles),CSWriteUnitStalledCycles (cycles),CSGDSInsts,CSLDSInsts,CSFlatLDSInsts,CSALUStalledByLDSCycles (cycles),CSLDSBankConflictCycles (cycles),TexUnitBusyCycles (cycles),TexTriFilteringCount,NoTexTriFilteringCount,TexVolFilteringCount,NoTexVolFilteringCount,TexAveAnisotropy,DepthStencilTestBusyCycles (cycles),HiZTilesAcceptedCount,HiZTilesRejectedCount,PreZTilesDetailCulledCount,PreZTilesDetailSurvivingCount,HiZQuadsCulledCount,HiZQuadsAcceptedCount,PreZQuadsCulledCount,PreZQuadsSurvivingCount,PostZQuadCount,PreZSamplesPassing,PreZSamplesFailingS,PreZSamplesFailingZ,PostZSamplesPassing,PostZSamplesFailingS,PostZSamplesFailingZ,ZUnitStalledCycles (cycles),DBMemRead (bytes),DBMemWritten (bytes),CBMemRead (bytes),CBColorAndMaskRead (bytes),CBMemWritten (bytes),CBColorAndMaskWritten (bytes),CBSlowPixelCount,L0TagConflictReadStalledCycles,L0TagConflictWriteStalledCycles,L0TagConflictAtomicStalledCycles,FetchSize (bytes),WriteSize (bytes),CacheHitCount,CacheMissCount,MemUnitBusyCycles (cycles),MemUnitStalledCycles (cycles),WriteUnitStalledCycles (cycles)
30,4.32,5.12,4.97528E+10,4.97528E+10,5842.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,3.00,0.00
31,81.12,81.44,4.97528E+10,4.97528E+10,104267.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,26819.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6466.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79872.00,7221888.00,7278208.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,80.00,160.00,4.97528E+10,4.97528E+10,105556.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,25773.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6242.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,72.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,79.84,238.88,4.97528E+10,4.97528E+10,104833.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,27342.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6314.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,262.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,79.68,316.80,4.97528E+10,4.97528E+10,104123.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,26003.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6150.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,144.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,77.76,394.56,4.97528E+10,4.97528E+10,103838.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,26196.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6434.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,79.52,82.88,4.97528E+10,4.97528E+10,104698.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,27468.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6320.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,80.00,82.08,4.97528E+10,4.97528E+10,104840.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,25505.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6278.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,79.04,81.44,4.97528E+10,4.97528E+10,103832.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,26063.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6226.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,58.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,79.52,81.28,4.97528E+10,4.97528E+10,104119.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1205424.00,25640.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6378.00,106.00,0.00,0.00,106.00,0.00,301752.00,0.00,301752.00,301752.00,560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79872.00,7248384.00,7328256.00,301752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
