C:\Users\USER\AppData\Local\Temp\RenderDoc\DX11_2024.02.26_13.47.00_frame9147.rdc - Frame #9147

 EID  | Event                                                 | Action #
------------------------------------------------------------------------
28020 | - Copy/Clear Pass #1                                  | 1-16  
1     |  \- ClearRenderTargetView({ 0.00, 0.00, 0.00, 1.00 }) | 1     
2     |   - ClearRenderTargetView({ 0.00, 0.00, 0.00, 1.00 }) | 2     
3     |   - ClearRenderTargetView({ 0.00, 0.00, 0.00, 1.00 }) | 3     
4     |   - ClearRenderTargetView({ 0.00, 0.00, 0.00, 1.00 }) | 4     
5     |   - ClearRenderTargetView({ 0.00, 0.00, 0.00, 1.00 }) | 5     
6     |   - ClearRenderTargetView({ 0.00, 0.00, 0.00, 1.00 }) | 6     
7     |   - ClearRenderTargetView({ 0.00, 0.00, 0.00, 1.00 }) | 7     
8     |   - ClearRenderTargetView({ 0.00, 0.00, 0.00, 1.00 }) | 8     
9     |   - ClearRenderTargetView({ 0.00, 0.00, 0.00, 1.00 }) | 9     
10    |   - ClearRenderTargetView({ 0.00, 0.00, 0.00, 1.00 }) | 10    
11    |   - ClearRenderTargetView({ 0.00, 0.00, 0.00, 1.00 }) | 11    
12    |   - ClearRenderTargetView({ 0.00, 0.00, 0.00, 1.00 }) | 12    
13    |   - ClearRenderTargetView({ 0.00, 0.00, 0.00, 1.00 }) | 13    
14    |   - ClearRenderTargetView({ 0.00, 0.00, 0.00, 1.00 }) | 14    
15    |   - ClearDepthStencilView(1.00, 0)                    | 15    
16    |   - ClearDepthStencilView(1.00, 0)                    | 16    
48    | - DrawIndexed(36)                                     | 17    
28021 | - Colour Pass #1 (8 Targets + Depth)                  | 18-1608
83    |  \- DrawIndexed(5604)                                 | 18    
98    |   - DrawIndexed(690)                                  | 19    
113   |   - DrawIndexed(2070)                                 | 20    
128   |   - DrawIndexed(1380)                                 | 21    
143   |   - DrawIndexed(1380)                                 | 22    
161   |   - DrawIndexed(5604)                                 | 23    
176   |   - DrawIndexed(2760)                                 | 24    
191   |   - DrawIndexed(1380)                                 | 25    
206   |   - DrawIndexed(690)                                  | 26    
221   |   - DrawIndexed(690)                                  | 27    
239   |   - DrawIndexed(5604)                                 | 28    
254   |   - DrawIndexed(690)                                  | 29    
269   |   - DrawIndexed(2070)                                 | 30    
284   |   - DrawIndexed(1380)                                 | 31    
299   |   - DrawIndexed(690)                                  | 32    
314   |   - DrawIndexed(690)                                  | 33    
332   |   - DrawIndexed(5604)                                 | 34    
347   |   - DrawIndexed(690)                                  | 35    
362   |   - DrawIndexed(2070)                                 | 36    
377   |   - DrawIndexed(1380)                                 | 37    
392   |   - DrawIndexed(690)                                  | 38    
407   |   - DrawIndexed(690)                                  | 39    
425   |   - DrawIndexed(5604)                                 | 40    
440   |   - DrawIndexed(690)                                  | 41    
455   |   - DrawIndexed(2070)                                 | 42    
470   |   - DrawIndexed(1380)                                 | 43    
485   |   - DrawIndexed(690)                                  | 44    
500   |   - DrawIndexed(690)                                  | 45    
518   |   - DrawIndexed(11256)                                | 46    
536   |   - DrawIndexed(19656)                                | 47    
554   |   - DrawIndexed(10236)                                | 48    
572   |   - DrawIndexed(125736)                               | 49    
590   |   - DrawIndexed(24)                                   | 50    
605   |   - DrawIndexed(432)                                  | 51    
623   |   - DrawIndexed(24)                                   | 52    
638   |   - DrawIndexed(432)                                  | 53    
656   |   - DrawIndexed(24)                                   | 54    
671   |   - DrawIndexed(432)                                  | 55    
689   |   - DrawIndexed(24)                                   | 56    
704   |   - DrawIndexed(432)                                  | 57    
722   |   - DrawIndexed(24)                                   | 58    
737   |   - DrawIndexed(432)                                  | 59    
